umap_x,umap_y,cluster,model
11.182842,4.274478,0,KMeans
10.038842,3.9419944,0,KMeans
11.995273,3.8282664,2,KMeans
7.488378,9.051742,0,KMeans
7.674333,5.264014,0,KMeans
11.071065,2.6289618,3,KMeans
8.084663,4.3253045,0,KMeans
9.185352,1.6505086,3,KMeans
11.19424,3.953256,0,KMeans
8.948449,2.6116593,3,KMeans
9.964652,8.764118,0,KMeans
10.22861,8.904867,0,KMeans
11.223567,12.836328,2,KMeans
12.701007,11.548608,2,KMeans
9.931261,4.596252,0,KMeans
8.356001,4.4694233,0,KMeans
10.654588,1.6825397,3,KMeans
13.469463,12.370206,2,KMeans
9.334145,6.0085254,0,KMeans
11.521382,2.0903816,3,KMeans
11.164873,8.395482,0,KMeans
9.214917,2.4343772,3,KMeans
11.306623,2.8653433,3,KMeans
10.13363,2.8011158,3,KMeans
12.54115,10.096001,2,KMeans
6.8992248,10.163051,2,KMeans
8.38796,8.852306,0,KMeans
9.574858,6.881648,0,KMeans
9.28272,0.9355564,3,KMeans
10.883226,12.460291,2,KMeans
7.682825,10.549665,2,KMeans
8.615261,5.9567924,0,KMeans
9.4439125,9.031291,0,KMeans
5.2380695,2.5200875,1,KMeans
9.647919,0.119172506,3,KMeans
13.407576,14.061463,2,KMeans
8.658391,8.321035,0,KMeans
9.9990835,7.781038,0,KMeans
12.693059,12.546346,2,KMeans
11.729639,11.856301,2,KMeans
8.91269,7.444872,0,KMeans
9.827134,7.700244,0,KMeans
6.6675277,2.683852,3,KMeans
7.991207,9.592096,0,KMeans
11.19516,11.06267,2,KMeans
12.60146,13.586594,2,KMeans
11.993518,11.629385,2,KMeans
11.167987,10.20949,2,KMeans
9.648768,9.106923,0,KMeans
8.656401,0.4434874,3,KMeans
9.698877,5.1057677,0,KMeans
10.475505,10.132978,2,KMeans
8.485961,9.403401,0,KMeans
12.794783,12.266364,2,KMeans
11.185686,3.2817707,3,KMeans
9.3913765,8.43545,0,KMeans
12.358087,7.7354074,0,KMeans
11.2866745,5.4665623,0,KMeans
10.126671,5.7939434,0,KMeans
10.136411,8.4837885,0,KMeans
9.367253,12.008958,2,KMeans
10.591983,7.336177,0,KMeans
6.7891097,9.758865,0,KMeans
9.364695,1.001662,3,KMeans
12.57693,13.259984,2,KMeans
10.581583,10.950624,2,KMeans
8.110455,6.921904,0,KMeans
6.9599257,9.883726,0,KMeans
10.026777,8.035667,0,KMeans
12.881826,13.344415,2,KMeans
10.053168,5.0931516,0,KMeans
12.537495,11.200729,2,KMeans
10.302979,12.326352,2,KMeans
9.709891,5.5806623,0,KMeans
10.218652,10.343705,2,KMeans
9.932821,8.060381,0,KMeans
10.800977,0.31263074,3,KMeans
10.800435,3.6147373,0,KMeans
10.231396,2.7540736,3,KMeans
10.88725,0.6122196,3,KMeans
10.526974,10.521861,2,KMeans
9.610702,9.174957,0,KMeans
11.070403,8.781819,0,KMeans
10.2432165,10.186181,2,KMeans
8.822547,10.314935,2,KMeans
11.006592,4.3259087,0,KMeans
10.598592,5.5139246,0,KMeans
8.794427,0.18121737,3,KMeans
7.620949,9.205651,0,KMeans
9.563058,9.152228,0,KMeans
9.007786,4.244768,0,KMeans
10.077584,4.1081414,0,KMeans
11.258192,11.214137,2,KMeans
10.837878,4.026208,0,KMeans
12.05794,-0.39975387,3,KMeans
10.891143,1.7332221,3,KMeans
12.176849,9.929546,2,KMeans
10.946656,2.0660775,3,KMeans
8.567138,6.83109,0,KMeans
7.8238487,11.356607,2,KMeans
10.227871,8.365949,0,KMeans
9.048775,1.991139,3,KMeans
7.714346,7.1534142,0,KMeans
8.840755,9.424866,0,KMeans
11.482171,11.858048,2,KMeans
10.419775,8.475689,0,KMeans
9.38591,7.6832657,0,KMeans
8.278125,4.310221,0,KMeans
10.031094,7.8157735,0,KMeans
6.986472,9.052694,0,KMeans
12.510299,13.620204,2,KMeans
11.501965,8.3523855,0,KMeans
10.948446,4.5799494,0,KMeans
9.741823,9.107122,0,KMeans
8.188346,4.2385664,0,KMeans
12.2802515,12.551335,2,KMeans
9.996306,8.873071,0,KMeans
9.148192,2.7179816,0,KMeans
12.915263,11.067898,2,KMeans
8.229658,7.114081,0,KMeans
9.730988,12.0128975,2,KMeans
9.939465,10.742568,2,KMeans
9.465861,-0.78347355,3,KMeans
11.412162,4.0661387,0,KMeans
11.420861,5.2699757,0,KMeans
12.080069,13.247424,2,KMeans
9.793681,0.22541249,3,KMeans
11.0621,8.6244335,0,KMeans
12.581028,7.316599,0,KMeans
8.975138,0.8031457,3,KMeans
10.734444,2.1083558,3,KMeans
10.786417,8.049565,0,KMeans
12.633665,-0.1564487,3,KMeans
9.139409,11.98693,2,KMeans
8.621611,1.4869561,3,KMeans
8.179918,6.7119794,0,KMeans
9.120786,0.15395178,3,KMeans
10.585637,4.1487503,0,KMeans
11.5435,8.284659,0,KMeans
9.840258,11.844174,2,KMeans
8.749883,11.446063,2,KMeans
12.876579,10.867093,2,KMeans
9.364135,0.76571697,3,KMeans
10.757411,1.8471587,3,KMeans
12.309537,8.149866,2,KMeans
11.169744,0.32411447,3,KMeans
11.458954,-0.26237762,3,KMeans
12.720802,13.148938,2,KMeans
8.72991,6.489029,0,KMeans
4.651055,2.4025595,1,KMeans
12.0048065,7.275815,0,KMeans
7.6725607,9.921248,2,KMeans
11.349401,-0.79345775,3,KMeans
10.375783,6.661301,0,KMeans
9.491178,3.9834867,0,KMeans
10.335016,3.1687353,0,KMeans
9.101836,0.46080053,3,KMeans
8.220406,4.2553296,0,KMeans
10.306775,6.832964,0,KMeans
8.807215,3.288211,3,KMeans
12.044222,-0.12504543,3,KMeans
11.814819,8.7831745,0,KMeans
12.60301,7.679559,2,KMeans
10.543832,10.154544,2,KMeans
9.355299,4.704501,0,KMeans
13.1217575,11.573154,2,KMeans
13.40687,14.056075,2,KMeans
9.794282,3.0941744,3,KMeans
7.0888453,10.176286,2,KMeans
10.393585,12.131515,2,KMeans
12.263861,1.4203022,3,KMeans
9.4280815,3.932867,0,KMeans
13.013587,12.704549,2,KMeans
8.1958475,9.069809,0,KMeans
11.465066,12.014942,2,KMeans
8.46961,9.95262,0,KMeans
8.886409,2.7539213,3,KMeans
7.1550345,8.861094,0,KMeans
9.721098,7.1968627,0,KMeans
9.562038,10.995024,2,KMeans
10.232258,2.9006565,3,KMeans
6.7952905,8.976089,0,KMeans
10.471319,4.492553,0,KMeans
9.018646,7.112073,0,KMeans
12.544836,1.1040785,2,KMeans
13.053281,10.874618,2,KMeans
8.92219,2.6546748,3,KMeans
9.02283,7.464234,0,KMeans
10.500075,8.044659,0,KMeans
11.836052,3.7764685,0,KMeans
6.648876,2.834353,3,KMeans
10.649961,-0.39003575,3,KMeans
12.52703,-0.1445127,3,KMeans
9.083063,5.3841205,0,KMeans
12.492982,0.83303493,3,KMeans
10.238277,11.070645,2,KMeans
11.153115,1.0678605,3,KMeans
10.078283,8.144988,0,KMeans
9.679482,11.541865,2,KMeans
10.028027,5.438301,0,KMeans
12.410523,9.812531,2,KMeans
9.8024645,4.452898,0,KMeans
7.987416,6.431379,0,KMeans
12.198409,1.734628,3,KMeans
13.196018,14.040481,2,KMeans
7.855621,4.9954934,0,KMeans
9.958868,1.226813,3,KMeans
10.176882,12.073369,2,KMeans
10.361745,6.960516,0,KMeans
9.776011,6.979305,0,KMeans
10.329958,9.966991,2,KMeans
10.08962,5.2422924,0,KMeans
11.323931,0.7231144,3,KMeans
10.932197,12.117347,2,KMeans
10.585128,5.346944,0,KMeans
10.505178,5.6757417,0,KMeans
10.55643,10.596985,2,KMeans
12.642616,13.262573,2,KMeans
11.961164,6.87199,0,KMeans
9.302972,2.1100469,3,KMeans
10.273375,9.479595,2,KMeans
9.248082,11.361305,2,KMeans
11.549604,2.7245758,3,KMeans
9.5997095,8.787076,0,KMeans
13.069897,10.927653,2,KMeans
9.619446,7.3765163,0,KMeans
11.128074,9.136639,2,KMeans
8.593193,-0.9050033,3,KMeans
11.812456,3.0731103,2,KMeans
12.217363,13.377285,2,KMeans
13.231815,11.858501,2,KMeans
9.818794,0.45669985,3,KMeans
8.689861,-0.6286709,3,KMeans
8.536445,8.729228,0,KMeans
10.458661,-0.16148813,3,KMeans
13.435154,12.044545,2,KMeans
11.029234,3.3607945,0,KMeans
7.9716554,5.980269,0,KMeans
9.8677845,5.6661444,0,KMeans
7.8538837,10.028108,2,KMeans
9.49727,10.068728,2,KMeans
11.094834,9.079175,2,KMeans
11.2503605,6.5122027,0,KMeans
4.778135,2.4339187,1,KMeans
10.326202,6.3635726,0,KMeans
10.445946,4.93785,0,KMeans
9.89547,3.0239,3,KMeans
13.029109,13.049316,2,KMeans
11.963777,1.7685888,3,KMeans
11.190328,7.750467,0,KMeans
11.931482,9.263763,0,KMeans
9.774744,8.64888,0,KMeans
11.955738,0.49772373,3,KMeans
9.079623,9.07236,0,KMeans
9.835201,5.275332,0,KMeans
11.578333,9.632379,2,KMeans
12.290413,1.3698189,3,KMeans
12.81765,12.028547,2,KMeans
9.960053,0.5577863,3,KMeans
11.462389,3.6426713,0,KMeans
7.6832786,8.763956,0,KMeans
11.711394,9.09962,2,KMeans
8.966075,4.727162,0,KMeans
9.143405,8.562927,0,KMeans
9.700799,1.265996,3,KMeans
10.482853,10.998214,2,KMeans
10.034267,6.4950047,0,KMeans
9.113756,8.730107,0,KMeans
8.4631605,10.057535,2,KMeans
10.38945,4.8382525,0,KMeans
11.894731,0.3146946,3,KMeans
12.748169,13.943273,2,KMeans
12.591466,0.06294228,3,KMeans
9.134413,8.274852,0,KMeans
11.640582,12.391761,2,KMeans
12.080182,1.0154781,3,KMeans
8.753232,9.588592,0,KMeans
11.446508,10.998882,2,KMeans
9.842195,10.488625,2,KMeans
9.618462,-0.38086772,3,KMeans
9.463545,-0.66534877,3,KMeans
11.999254,13.635502,2,KMeans
10.574628,8.576068,0,KMeans
7.821491,6.920782,0,KMeans
11.582924,0.7701887,3,KMeans
10.469267,8.262379,0,KMeans
9.935118,5.1954503,0,KMeans
12.090017,9.062058,2,KMeans
5.771733,2.637544,1,KMeans
11.411347,9.746384,2,KMeans
9.393875,9.750541,2,KMeans
11.419436,-0.22545269,3,KMeans
10.530993,9.932391,2,KMeans
10.375887,6.6523643,0,KMeans
7.882788,8.343094,0,KMeans
11.611218,9.6524,2,KMeans
11.14496,11.454434,2,KMeans
9.599146,10.380107,2,KMeans
11.673174,-0.4452791,3,KMeans
