umap_x,umap_y,cluster,confidence,entropy,model
14.341796,1.4837887,2,0.9743370084550464,0.12026013321455248,Hybrid_GMM
10.449281,1.963201,2,0.9638321047135667,0.15629924907313816,Hybrid_GMM
10.367018,0.58581465,2,0.7253103852799542,0.5891835056887041,Hybrid_GMM
13.813841,3.2332942,2,0.9892009220327987,0.06125485485413006,Hybrid_GMM
11.588571,6.728299,0,0.9242261651775118,0.2945141295817828,Hybrid_GMM
14.595898,0.64911324,2,0.999395385085921,0.00508529270151481,Hybrid_GMM
10.17659,-0.19629368,2,0.9839296938552533,0.0824487792663532,Hybrid_GMM
11.618899,3.0967603,2,0.9404582189887216,0.22775182324614257,Hybrid_GMM
9.851583,6.181709,0,0.9524294177925392,0.23136301526318626,Hybrid_GMM
11.450075,0.9267523,2,0.9811820454064234,0.09447064477896741,Hybrid_GMM
11.134487,3.8414457,2,0.8365533627910341,0.47261667303886346,Hybrid_GMM
7.598579,5.90888,0,0.9809111232031618,0.09501248154053443,Hybrid_GMM
11.831843,6.1155696,0,0.909150615701086,0.3983002297353939,Hybrid_GMM
6.6915126,0.8866315,2,0.9996990769152161,0.002740959990947478,Hybrid_GMM
11.350349,4.3999095,2,0.6248200090875327,0.6705226731665791,Hybrid_GMM
9.226348,6.9815135,0,0.9157456076302395,0.292888976123127,Hybrid_GMM
7.408466,0.32563788,2,0.999530305075457,0.004069070200577994,Hybrid_GMM
9.613926,3.5981407,2,0.9591429488765679,0.17088210327557993,Hybrid_GMM
10.457116,2.835294,2,0.9742052740765363,0.1199738382884296,Hybrid_GMM
8.857692,8.702605,3,0.6593307151368625,0.6454338638627632,Hybrid_GMM
13.503325,1.9978031,2,0.5433972740623474,0.7494692939431916,Hybrid_GMM
8.24849,5.1736703,0,0.9784019383925971,0.1071361652271357,Hybrid_GMM
13.195188,5.4965286,2,0.6374053348087875,0.7042954987428345,Hybrid_GMM
12.578686,5.882708,1,0.9998994091440552,0.0010264804988769894,Hybrid_GMM
13.859062,6.2660155,2,0.9664194160696457,0.16028161919779488,Hybrid_GMM
13.913462,3.3607743,2,0.9740577350641676,0.12342759770621275,Hybrid_GMM
6.031748,1.1681923,2,0.9999828760672972,0.0002050595211539148,Hybrid_GMM
12.314135,5.840963,1,0.9876787716875948,0.07249967313549831,Hybrid_GMM
7.0178723,5.9556837,0,0.9864723451534158,0.07199768642346517,Hybrid_GMM
11.460528,3.5067482,2,0.9547001401416495,0.18727850029438506,Hybrid_GMM
7.3967915,5.649373,0,0.9445760548476541,0.21496163453317535,Hybrid_GMM
8.252897,8.580415,3,0.6041378633925283,0.6714359751396342,Hybrid_GMM
12.502307,4.9081826,1,0.9999987590004666,1.8130631933246387e-05,Hybrid_GMM
7.4703712,8.34857,3,0.9999845323018297,0.00018916010537803647,Hybrid_GMM
10.723652,6.8237324,0,0.9394199097868303,0.2701026381651617,Hybrid_GMM
13.180792,6.6942453,1,0.9719690665356496,0.13727566358675442,Hybrid_GMM
6.75396,1.3431828,2,0.9994123481570836,0.00495924212332499,Hybrid_GMM
7.1365824,6.4028726,0,0.6664779996381579,0.6370901269238924,Hybrid_GMM
9.476285,2.0588171,2,0.9325917351432881,0.24767611824749744,Hybrid_GMM
9.586858,4.171209,0,0.8466668009501876,0.43305402558816813,Hybrid_GMM
12.540564,3.058302,2,0.9939503323594161,0.03766458711927106,Hybrid_GMM
6.6583486,5.2459073,0,0.9962521510421393,0.02469356550865131,Hybrid_GMM
8.202906,5.415079,0,0.9932160608991789,0.045180430994314034,Hybrid_GMM
10.017116,2.7191515,2,0.8670881783047918,0.39333944365487056,Hybrid_GMM
8.093575,-0.16240285,2,0.9995036159358271,0.004272913618181418,Hybrid_GMM
7.2989397,8.486085,3,0.8865588149452094,0.3536525681958389,Hybrid_GMM
9.509807,6.219388,3,0.9941943438613307,0.035832535219914835,Hybrid_GMM
8.446952,7.1610055,0,0.9391176936760467,0.23610128278493484,Hybrid_GMM
7.7972207,8.367862,3,0.9653384266473037,0.1518935907979503,Hybrid_GMM
6.4842367,7.6713085,3,0.8831935976097243,0.3605147470359457,Hybrid_GMM
10.478296,3.828843,2,0.9634264733490706,0.1571278780655671,Hybrid_GMM
9.133852,2.290304,2,0.9715186187486976,0.12946780909919245,Hybrid_GMM
6.9467483,7.6569614,3,0.9500266559438666,0.2124233403637365,Hybrid_GMM
12.522946,2.8210645,2,0.9921353560094507,0.04797838499916949,Hybrid_GMM
6.391063,5.6121955,0,0.9999882903787661,0.00015115477776465164,Hybrid_GMM
11.895584,0.78321916,2,0.9669020328585831,0.14756785165408967,Hybrid_GMM
12.1961355,2.1492193,2,0.9824630296112116,0.09032998694027049,Hybrid_GMM
11.505351,4.5619364,2,0.8577016625465503,0.42102785597226294,Hybrid_GMM
14.179843,4.4720125,2,0.7674149666692358,0.6179815189692195,Hybrid_GMM
