umap_x,umap_y,cluster,confidence,model
10.561121,8.27442,0,0.9999551069899238,GMM
13.651181,13.627574,3,0.719894372728166,GMM
7.630881,10.746113,0,0.9994322480424028,GMM
10.054546,8.718393,0,0.9935767269986175,GMM
11.89435,9.162249,0,0.9647938914538452,GMM
9.616807,9.927391,0,0.9840707622234393,GMM
7.6253824,8.100435,0,0.9904523249456954,GMM
7.8200855,5.5561256,0,0.8236673109709398,GMM
12.873945,10.518873,0,0.9418261865731065,GMM
9.1710825,6.9200153,0,0.997502292436876,GMM
9.449034,-0.6779058,1,0.7674201173492544,GMM
8.843158,8.305791,0,0.9238392110060907,GMM
11.398326,3.260725,1,0.6760767223514289,GMM
9.056308,6.2490296,0,0.8569041591562911,GMM
10.060102,6.266518,0,0.98376181130293,GMM
10.150232,7.888376,0,0.9577368140648347,GMM
9.067574,3.235949,1,0.9923086604270458,GMM
8.438802,3.8644226,3,0.9359394156946912,GMM
9.68641,1.0249637,1,0.9970074146546763,GMM
8.410014,9.559606,0,0.994401112443413,GMM
9.2125,6.466193,0,0.8406671349686614,GMM
12.264373,2.2197714,1,0.8872090183413105,GMM
9.239995,7.6134787,0,0.9987693231419589,GMM
10.42612,12.445689,0,0.9998011883986184,GMM
10.549363,5.802595,0,0.9375563405852756,GMM
11.003964,12.774569,0,0.9998421121304889,GMM
10.5094595,0.5681005,1,0.981881855570877,GMM
8.172074,9.0208645,0,0.9821406294048651,GMM
8.140664,8.10417,0,0.8615469713363276,GMM
9.89727,4.32264,1,0.5965961580556128,GMM
13.219904,11.903773,0,0.9974173576967441,GMM
9.31882,2.0024145,1,0.9723813001690951,GMM
12.43072,2.4446328,1,0.9783353391309352,GMM
13.126833,13.794871,0,0.9973170747018303,GMM
10.178537,1.4347551,1,0.9642290216947209,GMM
7.6709294,6.0252776,1,0.8474856569020598,GMM
11.251589,7.7602286,0,0.9813220269721544,GMM
7.7202253,8.056428,0,0.985633075677715,GMM
12.020249,13.644186,0,0.9999204002033046,GMM
9.98797,11.645366,0,0.9996224947313687,GMM
7.621465,9.984952,0,0.9982362271436999,GMM
10.116906,7.78311,0,0.9995311101505637,GMM
9.1028385,8.062962,0,0.95630324208927,GMM
11.2149,8.127636,0,0.7310761826726315,GMM
10.083347,6.393359,0,0.9293128488761798,GMM
7.1907887,9.607207,0,0.9996828570440783,GMM
10.735374,0.3128552,1,0.9944045864144888,GMM
9.198188,7.7252035,0,0.9930855883501546,GMM
12.583677,1.5721544,0,0.6615896633937437,GMM
8.583481,1.1045192,3,0.9999999656880659,GMM
12.990041,0.8277568,3,0.5211224702898122,GMM
9.773023,8.858984,0,0.9701969645779692,GMM
9.811044,4.3806796,1,0.9445818289049197,GMM
10.168067,7.3192487,0,0.9969949490118416,GMM
11.774148,4.5175457,0,0.5567405267638569,GMM
11.14555,2.4378269,1,0.9919702172977186,GMM
9.795491,5.8376274,1,0.8705465383701194,GMM
11.058659,12.4860525,0,0.9999273277874015,GMM
10.42603,-0.93742865,1,0.9549694330125829,GMM
11.972059,10.171898,0,0.9907024638220661,GMM
9.017675,10.375126,0,0.9996386961474121,GMM
13.770493,13.564723,3,0.9999999757277663,GMM
12.576188,1.5501807,1,0.9286557208293864,GMM
10.14167,11.03,0,0.9999330782439123,GMM
10.838909,2.6135728,1,0.9920682469321545,GMM
9.784944,5.8489027,1,0.49776477058448615,GMM
11.140537,6.2339354,0,0.824926982149481,GMM
9.889797,9.075806,0,0.9979741997934718,GMM
11.199428,3.5243921,1,0.965079866838648,GMM
8.740316,5.914351,0,0.8432296312975759,GMM
9.040218,10.3834095,0,0.999251824946125,GMM
10.956035,9.060381,0,0.9024650220025077,GMM
11.522953,12.837457,0,0.9998791547865666,GMM
10.006968,11.764174,0,0.9995927839804605,GMM
7.1450343,9.200132,0,0.9960020894540655,GMM
12.34274,1.8749517,1,0.8307096430248451,GMM
11.369302,10.392256,0,0.9789568149601146,GMM
12.071525,0.7950734,1,0.9932619279364723,GMM
11.952328,3.057973,1,0.959042277947652,GMM
12.264508,2.612584,0,0.7332950629315287,GMM
8.912096,9.559138,0,0.9988017922799126,GMM
9.153805,1.2849919,1,0.990644124529255,GMM
11.174818,6.0577145,0,0.9028140360415504,GMM
9.082701,2.8355103,1,0.9623346924928599,GMM
10.464115,8.234609,0,0.9636523881407183,GMM
9.719284,3.5573978,3,0.7608445317078232,GMM
11.354214,2.1400366,1,0.9971443433801416,GMM
10.112347,11.835827,0,0.99983025872895,GMM
9.29816,5.9468417,0,0.9454102969712483,GMM
